trace,time,uid,subtype,type,amount,ncalls,snapshots
"main.main,main.add",10202068672,main.getGoroutineID,Total Morestack T [ms],time,28.801052,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Total Morestack T [%],time,0.0028230600014530075,1,0
"main.main,main.add",10202068672,main.getGoroutineID,I Mean,time,9.697744,1,0
"main.main,main.add",10202068672,main.getGoroutineID,E Mean,time,9.697744,1,0
"main.main,main.add",10202068672,main.getGoroutineID,I Min,time,9697744.0,1,0
"main.main,main.add",10202068672,main.getGoroutineID,E Min,time,9697744.0,1,0
"main.main,main.add",10202068672,main.getGoroutineID,I Max,time,9697744.0,1,0
"main.main,main.add",10202068672,main.getGoroutineID,E Max,time,9697744.0,1,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Callees [#],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,8.900861,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,0.0008724564876169459,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,8.900861,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,0.0008724564876169459,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,I Mean,time,0.8900861,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,E Mean,time,0.8900861,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,I Min,time,124889.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,E Min,time,124889.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,I Max,time,2997278.0,10,0
"main.main.func1,main.Greet",10202068672,main.getCurrentCPUID,E Max,time,2997278.0,10,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Callees [#],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,6.019062,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,0.0005899844623198396,5,0
